Date,Username,Followers,Likes,Videos,Total_Views
2026-03-27,khaby.lame,160400000,-1720410671,1313,0
2026-03-27,chloe.xoxo95,1193,10500,102,0
2026-03-27,solveig.chloe,7,57,102,0
2026-03-27,charlidamelio,156600000,-862002330,3024,0
2026-03-28,khaby.lame,160500000,-1720031525,1313,0
2026-03-28,chloe.xoxo95,1193,10600,102,0
2026-03-28,solveig.chloe,7,57,102,0
2026-03-28,charlidamelio,156600000,-861781897,3024,0
2026-03-29,khaby.lame,160500000,-1719517506,1313,0
2026-03-29,chloe.xoxo95,1211,10900,107,0
2026-03-29,solveig.chloe,0,0,0,0
2026-03-29,charlidamelio,156600000,-860057313,3024,0
2026-03-30,khaby.lame,160500000,-1719274196,1313,0
2026-03-30,chloe.xoxo95,1219,11100,112,0
2026-03-30,solveig.chloe,0,0,0,0
2026-03-30,charlidamelio,156600000,-858860824,3024,0
2026-03-31,khaby.lame,160500000,-1718529793,1314,0
2026-03-31,chloe.xoxo95,1237,11300,112,0
2026-03-31,solveig.chloe,0,0,0,0
2026-03-31,charlidamelio,156700000,-857893290,3024,0
2026-04-01,khaby.lame,160500000,-1717867149,1314,0
2026-04-01,chloe.xoxo95,1251,11500,117,0
2026-04-01,solveig.chloe,0,0,0,0
2026-04-01,charlidamelio,156700000,-857055683,3024,0
